emotion,image_path
happiness,all_test\happiness\train_train_00901_aligned.jpg
happiness,all_test\happiness\test_test_2237_aligned.jpg
happiness,all_test\happiness\train_train_01349_aligned.jpg
sadness,all_test\sadness\train_train_01514_aligned.jpg
happiness,all_test\happiness\train_train_00235_aligned.jpg
happiness,all_test\happiness\train_train_05568_aligned.jpg
happiness,all_test\happiness\train_train_06208_aligned.jpg
happiness,all_test\happiness\train_train_05525_aligned.jpg
surprise,all_test\surprise\train_train_06010_aligned.jpg
happiness,all_test\happiness\train_train_03351_aligned.jpg
