emotion,image_path
anger,all_test\anger\test_test_0017_aligned.jpg
anger,all_test\anger\test_test_0027_aligned.jpg
anger,all_test\anger\test_test_0037_aligned.jpg
anger,all_test\anger\test_test_0042_aligned.jpg
anger,all_test\anger\test_test_0057_aligned.jpg
anger,all_test\anger\test_test_0091_aligned.jpg
anger,all_test\anger\test_test_0136_aligned.jpg
anger,all_test\anger\test_test_0185_aligned.jpg
anger,all_test\anger\test_test_0186_aligned.jpg
anger,all_test\anger\test_test_0190_aligned.jpg
anger,all_test\anger\test_test_0201_aligned.jpg
anger,all_test\anger\test_test_0215_aligned.jpg
anger,all_test\anger\test_test_0216_aligned.jpg
anger,all_test\anger\test_test_0225_aligned.jpg
anger,all_test\anger\test_test_0228_aligned.jpg
anger,all_test\anger\test_test_0244_aligned.jpg
anger,all_test\anger\test_test_0286_aligned.jpg
anger,all_test\anger\test_test_0295_aligned.jpg
anger,all_test\anger\test_test_0296_aligned.jpg
anger,all_test\anger\test_test_0301_aligned.jpg
anger,all_test\anger\test_test_0321_aligned.jpg
anger,all_test\anger\test_test_0327_aligned.jpg
anger,all_test\anger\test_test_0347_aligned.jpg
anger,all_test\anger\test_test_0349_aligned.jpg
anger,all_test\anger\test_test_0358_aligned.jpg
anger,all_test\anger\test_test_0395_aligned.jpg
anger,all_test\anger\test_test_0424_aligned.jpg
anger,all_test\anger\test_test_0452_aligned.jpg
anger,all_test\anger\test_test_0551_aligned.jpg
anger,all_test\anger\test_test_0585_aligned.jpg
anger,all_test\anger\test_test_0603_aligned.jpg
anger,all_test\anger\test_test_0656_aligned.jpg
anger,all_test\anger\test_test_0678_aligned.jpg
anger,all_test\anger\test_test_0748_aligned.jpg
anger,all_test\anger\test_test_0779_aligned.jpg
anger,all_test\anger\test_test_0793_aligned.jpg
anger,all_test\anger\test_test_0820_aligned.jpg
anger,all_test\anger\test_test_0853_aligned.jpg
anger,all_test\anger\test_test_0870_aligned.jpg
anger,all_test\anger\test_test_0902_aligned.jpg
anger,all_test\anger\test_test_0909_aligned.jpg
anger,all_test\anger\test_test_0953_aligned.jpg
anger,all_test\anger\test_test_0983_aligned.jpg
anger,all_test\anger\test_test_0986_aligned.jpg
anger,all_test\anger\test_test_1007_aligned.jpg
anger,all_test\anger\test_test_1013_aligned.jpg
anger,all_test\anger\test_test_1040_aligned.jpg
anger,all_test\anger\test_test_1050_aligned.jpg
anger,all_test\anger\test_test_1058_aligned.jpg
anger,all_test\anger\test_test_1059_aligned.jpg
