emotion,image_path,label,model_name,response_time,prediction_continuos,predicted_emotion
anger,all_test\anger\test_test_0017_aligned.jpg,anger,deepface,0.87,"DeepFace multiple emotion probabilities:
angry: 0.02%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 0.34%
surprise: 0.00%
neutral: 99.64%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_0027_aligned.jpg,anger,deepface,0.03,"DeepFace multiple emotion probabilities:
angry: 24.35%
disgust: 0.03%
fear: 34.19%
happy: 40.56%
sad: 0.16%
surprise: 0.71%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0037_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 11.65%
disgust: 0.00%
fear: 6.07%
happy: 82.28%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0042_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.33%
disgust: 0.00%
fear: 0.63%
happy: 95.55%
sad: 3.49%
surprise: 0.00%
neutral: 0.01%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0057_aligned.jpg,anger,deepface,0.03,"DeepFace multiple emotion probabilities:
angry: 1.76%
disgust: 0.00%
fear: 0.02%
happy: 1.73%
sad: 0.80%
surprise: 0.01%
neutral: 95.68%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_0091_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 71.76%
disgust: 0.00%
fear: 1.61%
happy: 0.44%
sad: 24.06%
surprise: 0.00%
neutral: 2.13%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0136_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 99.51%
disgust: 0.00%
fear: 0.44%
happy: 0.03%
sad: 0.02%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0185_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 95.26%
disgust: 0.00%
fear: 1.61%
happy: 0.18%
sad: 2.88%
surprise: 0.00%
neutral: 0.08%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0186_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.03%
disgust: 0.00%
fear: 99.84%
happy: 0.11%
sad: 0.00%
surprise: 0.02%
neutral: 0.00%

Dominant emotion: fear",fear
anger,all_test\anger\test_test_0190_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 90.25%
disgust: 0.19%
fear: 0.25%
happy: 0.00%
sad: 9.22%
surprise: 0.00%
neutral: 0.09%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0201_aligned.jpg,anger,deepface,0.01,"DeepFace multiple emotion probabilities:
angry: 89.23%
disgust: 0.00%
fear: 0.09%
happy: 10.60%
sad: 0.07%
surprise: 0.00%
neutral: 0.02%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0215_aligned.jpg,anger,deepface,0.01,"DeepFace multiple emotion probabilities:
angry: 4.65%
disgust: 0.00%
fear: 0.04%
happy: 0.00%
sad: 95.04%
surprise: 0.00%
neutral: 0.28%

Dominant emotion: sad",sad
anger,all_test\anger\test_test_0216_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 78.23%
disgust: 0.00%
fear: 0.02%
happy: 21.36%
sad: 0.39%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0225_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.54%
disgust: 0.01%
fear: 21.46%
happy: 15.98%
sad: 12.73%
surprise: 0.02%
neutral: 49.26%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_0228_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.62%
disgust: 0.00%
fear: 4.37%
happy: 91.34%
sad: 0.26%
surprise: 0.16%
neutral: 3.25%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0244_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 55.19%
disgust: 0.00%
fear: 0.01%
happy: 44.79%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0286_aligned.jpg,anger,deepface,0.01,"DeepFace multiple emotion probabilities:
angry: 0.00%
disgust: 0.00%
fear: 0.00%
happy: 92.53%
sad: 0.04%
surprise: 0.03%
neutral: 7.39%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0295_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 4.00%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 71.14%
surprise: 0.00%
neutral: 24.86%

Dominant emotion: sad",sad
anger,all_test\anger\test_test_0296_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 48.84%
disgust: 0.00%
fear: 0.00%
happy: 50.08%
sad: 0.73%
surprise: 0.00%
neutral: 0.35%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0301_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.03%
disgust: 0.00%
fear: 0.00%
happy: 95.32%
sad: 3.27%
surprise: 0.00%
neutral: 1.39%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0321_aligned.jpg,anger,deepface,0.01,"DeepFace multiple emotion probabilities:
angry: 48.87%
disgust: 0.00%
fear: 16.54%
happy: 1.43%
sad: 0.58%
surprise: 0.37%
neutral: 32.21%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0327_aligned.jpg,anger,deepface,0.01,"DeepFace multiple emotion probabilities:
angry: 98.25%
disgust: 0.00%
fear: 0.30%
happy: 1.39%
sad: 0.06%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0347_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.57%
disgust: 0.00%
fear: 99.21%
happy: 0.22%
sad: 0.01%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: fear",fear
anger,all_test\anger\test_test_0349_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 75.14%
disgust: 0.00%
fear: 0.00%
happy: 24.86%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0358_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 14.50%
disgust: 0.00%
fear: 0.02%
happy: 83.64%
sad: 0.35%
surprise: 0.02%
neutral: 1.47%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0395_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 1.84%
disgust: 48.24%
fear: 36.91%
happy: 0.00%
sad: 12.06%
surprise: 0.00%
neutral: 0.94%

Dominant emotion: disgust",disgust
anger,all_test\anger\test_test_0424_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.00%
disgust: 0.00%
fear: 0.00%
happy: 81.17%
sad: 0.00%
surprise: 0.00%
neutral: 18.83%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0452_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 1.90%
disgust: 0.11%
fear: 11.46%
happy: 5.74%
sad: 23.56%
surprise: 0.04%
neutral: 57.18%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_0551_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 23.90%
disgust: 0.00%
fear: 0.02%
happy: 76.05%
sad: 0.03%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0585_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 29.09%
disgust: 0.00%
fear: 0.02%
happy: 0.00%
sad: 43.45%
surprise: 0.00%
neutral: 27.44%

Dominant emotion: sad",sad
anger,all_test\anger\test_test_0603_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 97.12%
disgust: 0.00%
fear: 2.62%
happy: 0.25%
sad: 0.01%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0656_aligned.jpg,anger,deepface,0.01,"DeepFace multiple emotion probabilities:
angry: 0.42%
disgust: 0.00%
fear: 0.23%
happy: 0.01%
sad: 97.12%
surprise: 0.00%
neutral: 2.22%

Dominant emotion: sad",sad
anger,all_test\anger\test_test_0678_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 99.92%
disgust: 0.00%
fear: 0.08%
happy: 0.00%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0748_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 94.90%
disgust: 0.00%
fear: 0.02%
happy: 0.00%
sad: 0.54%
surprise: 0.00%
neutral: 4.54%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0779_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.00%
disgust: 0.00%
fear: 0.00%
happy: 100.00%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0793_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.15%
disgust: 0.00%
fear: 0.01%
happy: 99.72%
sad: 0.13%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0820_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 99.66%
disgust: 0.00%
fear: 0.27%
happy: 0.02%
sad: 0.04%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_0853_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.07%
disgust: 0.00%
fear: 1.02%
happy: 94.46%
sad: 0.04%
surprise: 4.41%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0870_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.89%
disgust: 0.00%
fear: 99.02%
happy: 0.00%
sad: 0.09%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: fear",fear
anger,all_test\anger\test_test_0902_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.00%
disgust: 0.00%
fear: 0.00%
happy: 0.44%
sad: 0.01%
surprise: 0.00%
neutral: 99.56%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_0909_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 4.61%
disgust: 8.14%
fear: 0.45%
happy: 52.67%
sad: 20.30%
surprise: 0.07%
neutral: 13.77%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0953_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.14%
disgust: 0.00%
fear: 0.71%
happy: 98.28%
sad: 0.87%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_0983_aligned.jpg,anger,deepface,0.01,"DeepFace multiple emotion probabilities:
angry: 3.99%
disgust: 24.82%
fear: 19.73%
happy: 1.45%
sad: 49.98%
surprise: 0.00%
neutral: 0.03%

Dominant emotion: sad",sad
anger,all_test\anger\test_test_0986_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 25.17%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 73.96%
surprise: 0.00%
neutral: 0.87%

Dominant emotion: sad",sad
anger,all_test\anger\test_test_1007_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 51.15%
disgust: 0.00%
fear: 1.52%
happy: 46.59%
sad: 0.01%
surprise: 0.08%
neutral: 0.65%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1013_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.00%
disgust: 0.00%
fear: 0.00%
happy: 98.42%
sad: 0.00%
surprise: 0.00%
neutral: 1.58%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_1040_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 99.23%
disgust: 0.00%
fear: 0.39%
happy: 0.35%
sad: 0.02%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1050_aligned.jpg,anger,deepface,0.04,"DeepFace multiple emotion probabilities:
angry: 1.99%
disgust: 0.00%
fear: 0.00%
happy: 96.88%
sad: 0.00%
surprise: 1.11%
neutral: 0.02%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_1058_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 16.06%
disgust: 0.00%
fear: 28.31%
happy: 0.00%
sad: 0.59%
surprise: 0.11%
neutral: 54.92%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_1059_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 89.38%
disgust: 0.00%
fear: 10.60%
happy: 0.02%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1061_aligned.jpg,anger,deepface,0.06,"DeepFace multiple emotion probabilities:
angry: 1.38%
disgust: 0.00%
fear: 0.00%
happy: 98.62%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_1109_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 1.36%
disgust: 0.00%
fear: 0.00%
happy: 0.69%
sad: 28.18%
surprise: 0.00%
neutral: 69.77%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_1115_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 99.97%
disgust: 0.00%
fear: 0.00%
happy: 0.03%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1127_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 99.26%
disgust: 0.00%
fear: 0.01%
happy: 0.06%
sad: 0.64%
surprise: 0.00%
neutral: 0.04%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1132_aligned.jpg,anger,deepface,0.06,"DeepFace multiple emotion probabilities:
angry: 100.00%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1178_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 0.09%
disgust: 0.00%
fear: 0.01%
happy: 98.02%
sad: 0.83%
surprise: 0.18%
neutral: 0.86%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_1190_aligned.jpg,anger,deepface,0.06,"DeepFace multiple emotion probabilities:
angry: 14.97%
disgust: 0.00%
fear: 0.12%
happy: 0.02%
sad: 4.54%
surprise: 0.00%
neutral: 80.35%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_1192_aligned.jpg,anger,deepface,0.06,"DeepFace multiple emotion probabilities:
angry: 100.00%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1200_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 3.65%
disgust: 0.00%
fear: 0.01%
happy: 5.09%
sad: 91.24%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: sad",sad
anger,all_test\anger\test_test_1217_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 2.29%
disgust: 0.00%
fear: 0.18%
happy: 0.00%
sad: 11.45%
surprise: 0.00%
neutral: 86.08%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_1234_aligned.jpg,anger,deepface,0.06,"DeepFace multiple emotion probabilities:
angry: 97.66%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 1.80%
surprise: 0.00%
neutral: 0.54%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1263_aligned.jpg,anger,deepface,0.06,"DeepFace multiple emotion probabilities:
angry: 70.95%
disgust: 0.15%
fear: 2.73%
happy: 2.48%
sad: 11.05%
surprise: 0.23%
neutral: 12.42%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1281_aligned.jpg,anger,deepface,0.04,"DeepFace multiple emotion probabilities:
angry: 46.63%
disgust: 0.00%
fear: 53.36%
happy: 0.00%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: fear",fear
anger,all_test\anger\test_test_1289_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 11.36%
disgust: 0.39%
fear: 1.03%
happy: 0.17%
sad: 11.07%
surprise: 0.05%
neutral: 75.94%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_1294_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 98.43%
disgust: 0.00%
fear: 1.55%
happy: 0.01%
sad: 0.01%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1301_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 0.00%
disgust: 0.00%
fear: 0.00%
happy: 100.00%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_1305_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 79.24%
disgust: 0.00%
fear: 0.05%
happy: 20.52%
sad: 0.15%
surprise: 0.03%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1309_aligned.jpg,anger,deepface,0.05,"DeepFace multiple emotion probabilities:
angry: 1.22%
disgust: 0.00%
fear: 0.51%
happy: 16.42%
sad: 1.45%
surprise: 0.05%
neutral: 80.35%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_1314_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 9.15%
disgust: 0.63%
fear: 1.16%
happy: 54.27%
sad: 26.29%
surprise: 0.30%
neutral: 8.20%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_1330_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 29.09%
disgust: 0.00%
fear: 3.34%
happy: 0.00%
sad: 12.71%
surprise: 0.00%
neutral: 54.85%

Dominant emotion: neutral",neutral
anger,all_test\anger\test_test_1336_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.02%
disgust: 0.00%
fear: 0.00%
happy: 96.44%
sad: 0.11%
surprise: 0.03%
neutral: 3.39%

Dominant emotion: happy",happy
anger,all_test\anger\test_test_1371_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 100.00%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1373_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 99.11%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 0.25%
surprise: 0.00%
neutral: 0.63%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1385_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 100.00%
disgust: 0.00%
fear: 0.00%
happy: 0.00%
sad: 0.00%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: angry",angry
anger,all_test\anger\test_test_1391_aligned.jpg,anger,deepface,0.02,"DeepFace multiple emotion probabilities:
angry: 0.00%
disgust: 0.00%
fear: 3.44%
happy: 0.00%
sad: 96.55%
surprise: 0.00%
neutral: 0.00%

Dominant emotion: sad",sad
