emotion,image_path
sadness,all_test\sadness\train_train_02033_aligned.jpg
disgust,all_test\disgust\test_test_0914_aligned.jpg
surprise,all_test\surprise\train_train_04626_aligned.jpg
fear,all_test\fear\train_train_09303_aligned.jpg
happiness,all_test\happiness\train_train_02013_aligned.jpg
disgust,all_test\disgust\train_train_09734_aligned.jpg
sadness,all_test\sadness\train_train_04575_aligned.jpg
sadness,all_test\sadness\test_test_1104_aligned.jpg
disgust,all_test\disgust\train_train_09637_aligned.jpg
sadness,all_test\sadness\train_train_00291_aligned.jpg
