emotion,image_path
sadness,all_test\sadness\train_train_03210_aligned.jpg
fear,all_test\fear\test_test_2272_aligned.jpg
happiness,all_test\happiness\train_train_04661_aligned.jpg
surprise,all_test\surprise\train_train_05089_aligned.jpg
happiness,all_test\happiness\test_test_0414_aligned.jpg
neutral,all_test\neutral\train_train_09919_aligned.jpg
happiness,all_test\happiness\train_train_08563_aligned.jpg
happiness,all_test\happiness\train_train_03541_aligned.jpg
surprise,all_test\surprise\test_test_1014_aligned.jpg
anger,all_test\anger\train_train_03900_aligned.jpg
